[23-Oct-2023 08:47:22 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
[23-Oct-2023 08:47:22 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'mysqli' (tried: /usr/local/lib/php/pecl/20220829/mysqli (dlopen(/usr/local/lib/php/pecl/20220829/mysqli, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli' (no such file)), /usr/local/lib/php/pecl/20220829/mysqli.so (dlopen(/usr/local/lib/php/pecl/20220829/mysqli.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli.so' (no such file))) in Unknown on line 0
[23-Oct-2023 08:47:22 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[23-Oct-2023 08:47:22 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
[01-Nov-2023 01:02:37 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[01-Nov-2023 01:02:37 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[01-Nov-2023 01:02:37 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'mysqli' (tried: /usr/local/lib/php/pecl/20220829/mysqli (dlopen(/usr/local/lib/php/pecl/20220829/mysqli, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli' (no such file)), /usr/local/lib/php/pecl/20220829/mysqli.so (dlopen(/usr/local/lib/php/pecl/20220829/mysqli.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli.so' (no such file))) in Unknown on line 0
[01-Nov-2023 01:02:37 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[01-Nov-2023 01:02:37 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'mysqli' (tried: /usr/local/lib/php/pecl/20220829/mysqli (dlopen(/usr/local/lib/php/pecl/20220829/mysqli, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli' (no such file)), /usr/local/lib/php/pecl/20220829/mysqli.so (dlopen(/usr/local/lib/php/pecl/20220829/mysqli.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli.so' (no such file))) in Unknown on line 0
[01-Nov-2023 01:02:37 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
[01-Nov-2023 01:02:37 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[01-Nov-2023 01:02:37 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
[02-Nov-2023 20:18:51 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[02-Nov-2023 20:18:51 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'mysqli' (tried: /usr/local/lib/php/pecl/20220829/mysqli (dlopen(/usr/local/lib/php/pecl/20220829/mysqli, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli' (no such file)), /usr/local/lib/php/pecl/20220829/mysqli.so (dlopen(/usr/local/lib/php/pecl/20220829/mysqli.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli.so' (no such file))) in Unknown on line 0
[02-Nov-2023 20:18:51 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[02-Nov-2023 20:18:51 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
[02-Nov-2023 20:18:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[02-Nov-2023 20:18:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'mysqli' (tried: /usr/local/lib/php/pecl/20220829/mysqli (dlopen(/usr/local/lib/php/pecl/20220829/mysqli, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli' (no such file)), /usr/local/lib/php/pecl/20220829/mysqli.so (dlopen(/usr/local/lib/php/pecl/20220829/mysqli.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli.so' (no such file))) in Unknown on line 0
[02-Nov-2023 20:18:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[02-Nov-2023 20:18:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
[14-Dec-2023 08:41:43 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[14-Dec-2023 08:41:43 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'mysqli' (tried: /usr/local/lib/php/pecl/20220829/mysqli (dlopen(/usr/local/lib/php/pecl/20220829/mysqli, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli' (no such file)), /usr/local/lib/php/pecl/20220829/mysqli.so (dlopen(/usr/local/lib/php/pecl/20220829/mysqli.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli.so' (no such file))) in Unknown on line 0
[14-Dec-2023 08:41:43 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[14-Dec-2023 08:41:43 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
[14-Dec-2023 08:41:43 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[14-Dec-2023 08:41:43 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'mysqli' (tried: /usr/local/lib/php/pecl/20220829/mysqli (dlopen(/usr/local/lib/php/pecl/20220829/mysqli, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli' (no such file)), /usr/local/lib/php/pecl/20220829/mysqli.so (dlopen(/usr/local/lib/php/pecl/20220829/mysqli.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli.so' (no such file))) in Unknown on line 0
[14-Dec-2023 08:41:43 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[14-Dec-2023 08:41:43 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
[26-Dec-2023 14:54:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[26-Dec-2023 14:54:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'mysqli' (tried: /usr/local/lib/php/pecl/20220829/mysqli (dlopen(/usr/local/lib/php/pecl/20220829/mysqli, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli' (no such file)), /usr/local/lib/php/pecl/20220829/mysqli.so (dlopen(/usr/local/lib/php/pecl/20220829/mysqli.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli.so' (no such file))) in Unknown on line 0
[26-Dec-2023 14:54:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[26-Dec-2023 14:54:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
[26-Dec-2023 14:54:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[26-Dec-2023 14:54:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'mysqli' (tried: /usr/local/lib/php/pecl/20220829/mysqli (dlopen(/usr/local/lib/php/pecl/20220829/mysqli, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli' (no such file)), /usr/local/lib/php/pecl/20220829/mysqli.so (dlopen(/usr/local/lib/php/pecl/20220829/mysqli.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli.so' (no such file))) in Unknown on line 0
[26-Dec-2023 14:54:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[26-Dec-2023 14:54:52 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
[08-Jan-2024 08:58:32 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'curl' (tried: /usr/local/lib/php/pecl/20220829/curl (dlopen(/usr/local/lib/php/pecl/20220829/curl, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl' (no such file)), /usr/local/lib/php/pecl/20220829/curl.so (dlopen(/usr/local/lib/php/pecl/20220829/curl.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/curl.so' (no such file))) in Unknown on line 0
[08-Jan-2024 08:58:32 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'mysqli' (tried: /usr/local/lib/php/pecl/20220829/mysqli (dlopen(/usr/local/lib/php/pecl/20220829/mysqli, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli' (no such file)), /usr/local/lib/php/pecl/20220829/mysqli.so (dlopen(/usr/local/lib/php/pecl/20220829/mysqli.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/mysqli.so' (no such file))) in Unknown on line 0
[08-Jan-2024 08:58:32 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/local/lib/php/pecl/20220829/pdo_mysql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_mysql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_mysql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_mysql.so' (no such file))) in Unknown on line 0
[08-Jan-2024 08:58:32 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql' (tried: /usr/local/lib/php/pecl/20220829/pdo_pgsql (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql' (no such file)), /usr/local/lib/php/pecl/20220829/pdo_pgsql.so (dlopen(/usr/local/lib/php/pecl/20220829/pdo_pgsql.so, 0x0009): tried: '/usr/local/lib/php/pecl/20220829/pdo_pgsql.so' (no such file))) in Unknown on line 0
